Termék kód;Nettó eladási egységár
52;6112,0
54;5470,0
560;10229,0
561;13277,0
567;708,0
758;23189,0
759;15736,0
779;15382,0
781;25194,0
782;1377,0
786;17310,0
787;944,0
788;331,0
789;413,0
790;378,0
795;4644,0
853;413,0
1035;1779,0
1050;1383,0
1068;9300,0
1070;10406,0
1071;23408,0
1750;209,0
1788;106874,02
1820;1288,0
1821;5390,0
1909;1588,0
1975;708,0
2016;12902,0
2029;6649,0
2115;147680,0
2255;1850,0
2365;109569,0
2375;10944,88
2482;1242,0
2554;22017,0
2590;15354,33
2793;1713,0
2794;1505,0
2796;1174,0
2797;770,0
2806;2823,0
2808;506,0
2809;428,0
2812;297,0
2813;376,0
2839;790,0
2856;23050,0
2859;31370,0
2860;13328,0
2924;91913,0
2968;440,0
3000;228,0
3016;20729,0
3035;2743,0
3063;2981,0
3093;227594,0
3124;14223,0
3131;1969,0
3136;11641,0
3230;1613,0
3267;9988,0
3268;10798,0
3270;7559,0
3273;9448,0
3354;215,0
3427;1969,0
3428;1575,0
3445;7031,0
3470;22628,0
3659;456,0
3693;77481,0
3698;10229,0
3760;19717,9606
3780;42677,0
3843;39362,21
3845;146505,8268
3847;52522,0
3848;93164,0
3849;23728,8189
3853;78551,1811
3860;30095,0
3890;47599,0394
3900;19977,0
4002;38976,38
4003;38976,38
4037;48985,2
4038;54540,0
4039;65118,6
4055;27082,0
4056;35057,0
4059;18946,0
4104;47599,0394
4110;13319,0
4111;9126,0
4112;23759,0
4113;31817,0
4127;155733,1197
4131;248004,0
4193;1658,0
4224;442,0
4244;6491,0
4245;26692,91
4246;14021,0
4253;1967,0
4257;3737,0
4261;1524,0
4262;2065,0
4409;6654,0
4412;10522,0
4413;16835,0
4415;4753,0
4416;5228,0
4417;7225,0
4418;7510,0
4428;32238,0
4469;2213,0
4532;4634,0
4535;3707,0
4536;5989,0
4568;16240,0
4609;24424,0
4611;29658,0
4612;31236,0
4682;76222,0
4683;70981,6
4692;119395,0
4694;7504,0
4711;19592,0
4755;650,0
4846;40157,48
4848;48976,38
4850;75511,81
4931;4560,0
4934;4197,0
4935;12096,0
4940;1269,0
4946;133,0
4984;410,0
4989;231,0
4990;337,0
4993;254,0
4995;246,0
5001;904,0
5003;683,0
5004;683,0
5005;683,0
5006;719,0
5007;934,0
5010;347,0
5011;395,0
5012;720,0
5013;720,0
5094;7993,0
5230;54251,97
5231;54251,97
5232;15920,0
5237;6965,0
5238;5804,0
5242;66429,0
5245;5370,08
5249;7796,0
5265;261,0
5368;65590,55
5432;11695,0
5442;16884,0
5450;6746,0
5456;1653,0
5457;1653,0
5508;46150,0
5565;78261,0
5566;578,0
5567;545,0
5568;619,0
5569;643,0
5574;8853,0
5575;11858,0
5587;3557,0
5588;133,0
5589;133,0
5590;133,0
5591;133,0
5593;186,0
5636;2986,0
5671;654,0
5672;147,0
5674;4942,0
5677;20480,315
5680;28275,5906
5685;5367,0
5686;133312,7559
5687;70092,8
5692;15669,29
5693;158101,0
5711;11217,0
5710;8457,0
5712;6056,0
5715;4645,67
5721;3070,87
5722;4664,0
5723;10944,88
5724;2915,0
5725;2915,0
5726;1344,0
5727;2914,96
5728;7078,74
5729;2988,0
5731;10641,0
5734;4076,0
5735;9580,0
5738;706,5
5741;109,5
5745;4616,0
5747;4785,0
5753;15042,0
5755;1772,0
5817;1435,0
5819;1435,0
5820;730,0
5821;1837,0
5822;1024,0
5823;1837,0
5824;965,0
5825;325,0
5826;325,0
5827;541,0
5828;535,0
5829;535,0
5830;541,0
5831;535,0
5833;762,0
5834;762,0
5837;476,0
5840;585,0
5841;566,0
5842;575,0
5846;594,0
5847;518,0
5848;560,0
5850;555,0
5849;164,0
5851;555,0
5852;496,0
5853;810,0
5856;449,0
5858;7795,28
5887;1464,0
5888;153,0
5893;48148,0
5894;42017,0
5892;52313,0
5930;15783,0
5959;261,0
5960;88655,0
5962;7664,0
5963;33529,0
5964;25170,0
5965;81,0
5966;81,0
5967;81,0
5968;81,0
5969;81,0
5970;81,0
5971;81,0
5972;81,0
5973;132,0
5974;132,0
5975;132,0
5976;132,0
5977;132,0
5978;9037,0
5979;8336,0
5980;8336,0
5981;29055,12
5983;34956,0
5984;41961,0
6006;20544,0
6009;58358,0
6012;87655,2
6014;229,0
6045;12735,0
6047;50060,0
6048;49184,6457
6055;4722,0
6057;201,0
6065;147,0
6067;296,0
6074;354,33
6075;378,0
6077;189,0
6080;297,0
6081;234,0
6082;312,0
6083;312,0
6085;232,0
6086;241,0
6088;839,0
6089;1119,0
6090;1382,0
6091;2032,0
6094;2386,0
6102;3925,2
6110;1670,0
6111;798,0
6112;1240,16
6117;1331,0
6118;1909,0
6119;728,35
6120;1103,0
6121;1654,0
6122;2456,0
6123;3151,0
6124;2456,0
6125;3151,0
6126;2361,0
6127;3057,0
6128;2361,0
6129;3057,0
6130;3153,54
6132;2413,0
6134;2327,0
6135;3279,53
6144;34230,0
6145;55541,0
6147;66485,0
6150;156692,91
6158;1132,0
6183;8222,0
6184;2216,0
6186;5503,94
6188;84,0
6202;290,0
6203;272,44
6219;7276,0
6232;204732,0
6260;1128,0
6261;81,0
6268;681,0
6278;68785,0
6279;189,0
6280;189,0
6281;189,0
56;210,75
185;192,0
187;192,75
188;192,75
398;186,0
496;7571,0
763;7571,0
1217;23185,0
1299;484,0
1308;13271,0
1519;1589,0
1527;2413,0
1799;325,5
1803;328,5
1818;5319,0
2107;60,0
2582;23706,6929
2709;3689,0
2711;872,0
2712;29860,0
2722;11825,0
2730;215,0
2732;18686,0
2733;27206,0
2741;37045,5
2876;5229,0
2878;7697,0
2939;4133,0
2940;2090,0
2941;836,0
2942;836,0
2947;4247,0
2979;14912,5984
3580;70924,0157
3769;5023,0
3867;9325,0
6031;46930,511
6032;38335,6299
8000;496,0
8001;526,0
8002;561,0
6276;405,51
8003;191,34
8004;28972,44
5982;37758,0
6140;78,0
6143;78,0
6141;78,0
6142;78,0
8009;543,31
6053;1062,99
8010;323,0
8006;125000,0
8023;3070,87
8012;736,0
8013;736,0
8014;673,0
8015;736,0
8016;858,0
8017;366,0
8018;366,0
8019;2870,0
8035;11732,28
8021;5490,0
8020;5211,08
5742;116,0
8022;168425,2
8032;12992,0
8025;307,09
8026;283,47
8027;1299,21
8028;1775,48
8029;1240,16
8031;885,83
8036;284625,99
8037;459291,34
8034;25244,1
8039;535,5
8041;148,82
5430;14897,64
5688;44956,8
5689;49185,6
5695;2359,0551
5696;1913,7008
999998;91338,5827
999997;111417,3228
999996;106692,9134
999995;133858,2677
8053;465,0
8054;15354,33
8038;52287,4016
8045;6220,47
8044;4015,75
8042;7007,88
8046;86535,43
8073;77874,02
8074;313125,99
8075;359003,94
8047;26181,1
8051;21181,1
8049;44803,15
8050;58976,38
562;5370,0
833;1240,0
1425;18116,0
1786;68153,0
2091;192044,0
2113;59712,0
2592;11802,0
2761;86535,43
2810;4192,0
2811;191,0
3859;9442,0
4251;9835,0
4256;1721,0
4410;8727,0
4476;28886,0
4555;4373,0
4565;3327,0
4606;23604,0
5008;244,0
5009;220,0
5233;38503,94
5239;81774,0
5515;3482,0
5564;226,0
5583;12139,0
5584;12715,0
5678;22755,91
5691;148276,0
5818;572,0
5789;111356,0
5832;535,0
5838;472,0
5839;526,0
5845;360,0
5895;33600,0
5929;20869,0
6005;83129,6
6056;5292,0
6062;5677,17
6076;578,74
6078;216,54
6084;163,0
6092;1259,0
6093;1572,0
6095;930,0
6096;1275,0
6097;1588,0
6098;2378,0
6099;3201,0
6100;4073,0
6101;2337,0
6103;2501,0
6104;3941,0
6105;790,0
6106;1179,0
6107;1610,24
6108;716,0
6109;1119,0
6113;642,0
6114;1037,0
6115;1669,29
6116;907,0
6131;4897,64
6133;3083,0
6136;465,0
6137;386,0
6138;11944,0
6139;18969,0
6146;62535,0
6148;78434,0
6149;112615,0
6182;6220,47
6189;32629,0
6221;207,0
6269;690,0
6282;1543,31
6283;2409,45
6079;224,0
8005;30995,0
8008;1772,0
8030;1759,84
8040;148,82
8052;23543,31
8048;39291,34
