Termék kód;Árlista;Egységár;Alapár (Nettó)
560;Törzsvásárló 2;9442;10229
560;Törzsvásárló 5-nagyker;8863;10229
561;Törzsvásárló 2;12255;13277
561;Törzsvásárló 5-nagyker;11503;13277
567;Törzsvásárló 2;653;708
567;Törzsvásárló 5-nagyker;613;708
758;Törzsvásárló 2;21404;23189
758;Törzsvásárló 5-nagyker;20091;23189
759;Törzsvásárló 2;14525;15736
759;Törzsvásárló 5-nagyker;13634;15736
779;Törzsvásárló 2;14198;15382
779;Törzsvásárló 5-nagyker;13327;15382
781;Törzsvásárló 2;23255;25194
781;Törzsvásárló 5-nagyker;21828;25194
782;Törzsvásárló 2;1271;1377
782;Törzsvásárló 5-nagyker;1193;1377
787;Törzsvásárló 2;871;944
787;Törzsvásárló 5-nagyker;818;944
788;Törzsvásárló 2;305;331
788;Törzsvásárló 5-nagyker;287;331
789;Törzsvásárló 2;381;413
789;Törzsvásárló 5-nagyker;358;413
790;Törzsvásárló 2;349;378
790;Törzsvásárló 5-nagyker;328;378
853;Törzsvásárló 2;381;413
853;Törzsvásárló 5-nagyker;358;413
1068;Törzsvásárló 2;8584;9300
1068;Törzsvásárló 5-nagyker;8057;9300
1070;Törzsvásárló 2;9605;10406
1070;Törzsvásárló 5-nagyker;9016;10406
1071;Törzsvásárló 2;21606;23408
1071;Törzsvásárló 5-nagyker;20281;23408
1788;Törzsvásárló 2;98646;106874
1788;Törzsvásárló 5-nagyker;92596;106874
1820;Törzsvásárló 2;1189;1288
1820;Törzsvásárló 5-nagyker;1116;1288
1821;Törzsvásárló 2;4975;5390
1821;Törzsvásárló 5-nagyker;4670;5390
2029;Törzsvásárló 2;6137;6649
2029;Törzsvásárló 5-nagyker;5761;6649
2115;Törzsvásárló 2;136311;147680
2115;Törzsvásárló 5-nagyker;127949;147680
2365;Törzsvásárló 2;101134;109569
2365;Törzsvásárló 5-nagyker;94930;109569
2375;Törzsvásárló 2;10103;10945
2375;Törzsvásárló 5-nagyker;9483;10945
2554;Törzsvásárló 2;20322;22017
2554;Törzsvásárló 5-nagyker;19076;22017
2590;Törzsvásárló 2;14172;15354
2590;Törzsvásárló 5-nagyker;13303;15354
2793;Törzsvásárló 2;1581;1713
2793;Törzsvásárló 5-nagyker;1484;1713
2794;Törzsvásárló 2;1389;1505
2794;Törzsvásárló 5-nagyker;1304;1505
2796;Törzsvásárló 2;1084;1174
2796;Törzsvásárló 5-nagyker;1018;1174
2797;Törzsvásárló 2;711;770
2797;Törzsvásárló 5-nagyker;668;770
2806;Törzsvásárló 2;2606;2823
2806;Törzsvásárló 5-nagyker;2446;2823
2809;Törzsvásárló 2;395;428
2809;Törzsvásárló 5-nagyker;371;428
2812;Törzsvásárló 2;274;297
2812;Törzsvásárló 5-nagyker;258;297
2813;Törzsvásárló 2;347;376
2813;Törzsvásárló 5-nagyker;326;376
2839;Törzsvásárló 2;729;790
2839;Törzsvásárló 5-nagyker;685;790
2856;Törzsvásárló 2;21276;23050
2856;Törzsvásárló 5-nagyker;19971;23050
2859;Törzsvásárló 2;28955;31370
2859;Törzsvásárló 5-nagyker;27179;31370
2860;Törzsvásárló 2;12302;13328
2860;Törzsvásárló 5-nagyker;11547;13328
2924;Törzsvásárló 2;84837;91913
2924;Törzsvásárló 5-nagyker;79633;91913
2968;Törzsvásárló 2;406;440
2968;Törzsvásárló 5-nagyker;381;440
3000;Törzsvásárló 2;210;228
3000;Törzsvásárló 5-nagyker;198;228
3093;Törzsvásárló 2;210073;227594
3093;Törzsvásárló 5-nagyker;197187;227594
3136;Törzsvásárló 2;10745;11641
3136;Törzsvásárló 5-nagyker;10086;11641
3267;Törzsvásárló 2;9219;9988
3267;Törzsvásárló 5-nagyker;8654;9988
3268;Törzsvásárló 2;9967;10798
3268;Törzsvásárló 5-nagyker;9356;10798
3270;Törzsvásárló 2;6977;7559
3270;Törzsvásárló 5-nagyker;6549;7559
3273;Törzsvásárló 2;8721;9448
3273;Törzsvásárló 5-nagyker;8186;9448
3470;Törzsvásárló 2;20886;22628
3470;Törzsvásárló 5-nagyker;19605;22628
3659;Törzsvásárló 2;421;456
3659;Törzsvásárló 5-nagyker;395;456
3698;Törzsvásárló 2;9442;10229
3698;Törzsvásárló 5-nagyker;8863;10229
3760;Törzsvásárló 2;18200;19718
3760;Törzsvásárló 5-nagyker;17084;19718
3843;Törzsvásárló 2;36332;39362
3843;Törzsvásárló 5-nagyker;34104;39362
3847;Törzsvásárló 2;48479;52522
3847;Törzsvásárló 5-nagyker;45505;52522
3848;Törzsvásárló 2;85992;93164
3848;Törzsvásárló 5-nagyker;80717;93164
3849;Törzsvásárló 2;21902;23729
3849;Törzsvásárló 5-nagyker;20559;23729
3853;Törzsvásárló 2;72504;78551
3853;Törzsvásárló 5-nagyker;68056;78551
3860;Törzsvásárló 2;27778;30095
3860;Törzsvásárló 5-nagyker;26074;30095
3890;Törzsvásárló 2;43934;47599
3890;Törzsvásárló 5-nagyker;41239;47599
3900;Törzsvásárló 2;18439;19977
3900;Törzsvásárló 5-nagyker;17308;19977
4002;Törzsvásárló 2;35975;38976
4002;Törzsvásárló 5-nagyker;33769;38976
4003;Törzsvásárló 2;35975;38976
4003;Törzsvásárló 5-nagyker;33769;38976
4037;Törzsvásárló 2;45214;48985
4037;Törzsvásárló 5-nagyker;42441;48985
4038;Törzsvásárló 2;50341;54540
4038;Törzsvásárló 5-nagyker;47253;54540
4039;Törzsvásárló 2;60106;65119
4039;Törzsvásárló 5-nagyker;56419;65119
4056;Törzsvásárló 2;32358;35057
4056;Törzsvásárló 5-nagyker;30373;35057
4059;Törzsvásárló 2;17488;18946
4059;Törzsvásárló 5-nagyker;16415;18946
4104;Törzsvásárló 2;43934;47599
4104;Törzsvásárló 5-nagyker;41239;47599
4110;Törzsvásárló 2;12293;13319
4110;Törzsvásárló 5-nagyker;11539;13319
4111;Törzsvásárló 2;8424;9126
4111;Törzsvásárló 5-nagyker;7907;9126
4112;Törzsvásárló 2;21930;23759
4112;Törzsvásárló 5-nagyker;20584;23759
4113;Törzsvásárló 2;29368;31817
4113;Törzsvásárló 5-nagyker;27566;31817
4127;Törzsvásárló 2;143744;155733
4127;Törzsvásárló 5-nagyker;134927;155733
4131;Törzsvásárló 2;228911;248004
4131;Törzsvásárló 5-nagyker;214870;248004
4193;Törzsvásárló 2;1531;1658
4193;Törzsvásárló 5-nagyker;1437;1658
4224;Törzsvásárló 2;408;442
4224;Törzsvásárló 5-nagyker;383;442
4246;Törzsvásárló 2;12942;14021
4246;Törzsvásárló 5-nagyker;12148;14021
4409;Törzsvásárló 2;6142;6654
4409;Törzsvásárló 5-nagyker;5765;6654
4412;Törzsvásárló 2;9712;10522
4412;Törzsvásárló 5-nagyker;9117;10522
4413;Törzsvásárló 2;15539;16835
4413;Törzsvásárló 5-nagyker;14586;16835
4415;Törzsvásárló 2;4387;4753
4415;Törzsvásárló 5-nagyker;4118;4753
4416;Törzsvásárló 2;4826;5228
4416;Törzsvásárló 5-nagyker;4530;5228
4417;Törzsvásárló 2;6669;7225
4417;Törzsvásárló 5-nagyker;6260;7225
4418;Törzsvásárló 2;6932;7510
4418;Törzsvásárló 5-nagyker;6507;7510
4428;Törzsvásárló 2;29756;32238
4428;Törzsvásárló 5-nagyker;27931;32238
4532;Törzsvásárló 2;4278;4634
4532;Törzsvásárló 5-nagyker;4015;4634
4535;Törzsvásárló 2;3421;3707
4535;Törzsvásárló 5-nagyker;3212;3707
4536;Törzsvásárló 2;5528;5989
4536;Törzsvásárló 5-nagyker;5189;5989
4568;Törzsvásárló 2;14990;16240
4568;Törzsvásárló 5-nagyker;14070;16240
4682;Törzsvásárló 2;70354;76222
4682;Törzsvásárló 5-nagyker;66039;76222
4683;Törzsvásárló 2;65518;70982
4683;Törzsvásárló 5-nagyker;61499;70982
4692;Törzsvásárló 2;110203;119395
4692;Törzsvásárló 5-nagyker;103443;119395
4694;Törzsvásárló 2;6926;7504
4694;Törzsvásárló 5-nagyker;6501;7504
4846;Törzsvásárló 2;37066;40157
4846;Törzsvásárló 5-nagyker;34792;40157
4848;Törzsvásárló 2;45206;48976
4848;Törzsvásárló 5-nagyker;42433;48976
4850;Törzsvásárló 2;69699;75512
4850;Törzsvásárló 5-nagyker;65423;75512
4934;Törzsvásárló 2;3874;4197
4934;Törzsvásárló 5-nagyker;3636;4197
4935;Törzsvásárló 2;11165;12096
4935;Törzsvásárló 5-nagyker;10480;12096
4940;Törzsvásárló 2;1171;1269
4940;Törzsvásárló 5-nagyker;1100;1269
4984;Törzsvásárló 2;379;410
4984;Törzsvásárló 5-nagyker;356;410
4989;Törzsvásárló 2;213;231
4989;Törzsvásárló 5-nagyker;200;231
4990;Törzsvásárló 2;311;337
4990;Törzsvásárló 5-nagyker;292;337
5001;Törzsvásárló 2;834;904
5001;Törzsvásárló 5-nagyker;783;904
5007;Törzsvásárló 2;862;934
5007;Törzsvásárló 5-nagyker;810;934
5010;Törzsvásárló 2;320;347
5010;Törzsvásárló 5-nagyker;300;347
5011;Törzsvásárló 2;364;395
5011;Törzsvásárló 5-nagyker;342;395
5012;Törzsvásárló 2;665;720
5012;Törzsvásárló 5-nagyker;624;720
5013;Törzsvásárló 2;665;720
5013;Törzsvásárló 5-nagyker;624;720
5230;Törzsvásárló 2;50075;54252
5230;Törzsvásárló 5-nagyker;47004;54252
5231;Törzsvásárló 2;50075;54252
5231;Törzsvásárló 5-nagyker;47004;54252
5232;Törzsvásárló 2;14694;15920
5232;Törzsvásárló 5-nagyker;13793;15920
5237;Törzsvásárló 2;6429;6965
5237;Törzsvásárló 5-nagyker;6035;6965
5238;Törzsvásárló 2;5357;5804
5238;Törzsvásárló 5-nagyker;5029;5804
5242;Törzsvásárló 2;61315;66429
5242;Törzsvásárló 5-nagyker;57554;66429
5245;Törzsvásárló 2;4957;5370
5245;Törzsvásárló 5-nagyker;4653;5370
5368;Törzsvásárló 2;60541;65591
5368;Törzsvásárló 5-nagyker;56828;65591
5565;Törzsvásárló 2;72236;78261
5565;Törzsvásárló 5-nagyker;67805;78261
5567;Törzsvásárló 2;503;545
5567;Törzsvásárló 5-nagyker;472;545
5568;Törzsvásárló 2;571;619
5568;Törzsvásárló 5-nagyker;536;619
5569;Törzsvásárló 2;593;643
5569;Törzsvásárló 5-nagyker;557;643
5574;Törzsvásárló 2;8172;8853
5574;Törzsvásárló 5-nagyker;7670;8853
5575;Törzsvásárló 2;10945;11858
5575;Törzsvásárló 5-nagyker;10274;11858
5587;Törzsvásárló 2;3283;3557
5587;Törzsvásárló 5-nagyker;3082;3557
5677;Törzsvásárló 2;18903;20480
5677;Törzsvásárló 5-nagyker;17744;20480
5680;Törzsvásárló 2;26099;28276
5680;Törzsvásárló 5-nagyker;24498;28276
5692;Törzsvásárló 2;14463;15669
5692;Törzsvásárló 5-nagyker;13576;15669
5693;Törzsvásárló 2;145930;158101
5693;Törzsvásárló 5-nagyker;136978;158101
5711;Törzsvásárló 2;10354;11217
5711;Törzsvásárló 5-nagyker;9719;11217
5710;Törzsvásárló 2;7806;8457
5710;Törzsvásárló 5-nagyker;7327;8457
5712;Törzsvásárló 2;5590;6056
5712;Törzsvásárló 5-nagyker;5247;6056
5715;Törzsvásárló 2;4289;4646
5715;Törzsvásárló 5-nagyker;4026;4646
5721;Törzsvásárló 2;2834;3071
5721;Törzsvásárló 5-nagyker;2660;3071
5722;Törzsvásárló 2;4305;4664
5722;Törzsvásárló 5-nagyker;4041;4664
5723;Törzsvásárló 2;10103;10945
5723;Törzsvásárló 5-nagyker;9483;10945
5724;Törzsvásárló 2;2690;2915
5724;Törzsvásárló 5-nagyker;2525;2915
5725;Törzsvásárló 2;2690;2915
5725;Törzsvásárló 5-nagyker;2525;2915
5726;Törzsvásárló 2;1241;1344
5726;Törzsvásárló 5-nagyker;1164;1344
5727;Törzsvásárló 2;2690;2915
5727;Törzsvásárló 5-nagyker;2525;2915
5728;Törzsvásárló 2;6534;7079
5728;Törzsvásárló 5-nagyker;6133;7079
5734;Törzsvásárló 2;3762;4076
5734;Törzsvásárló 5-nagyker;3531;4076
5735;Törzsvásárló 2;8842;9580
5735;Törzsvásárló 5-nagyker;8300;9580
5745;Törzsvásárló 2;4261;4616
5745;Törzsvásárló 5-nagyker;3999;4616
5747;Törzsvásárló 2;4417;4785
5747;Törzsvásárló 5-nagyker;4146;4785
5753;Törzsvásárló 2;13884;15042
5753;Törzsvásárló 5-nagyker;13033;15042
5755;Törzsvásárló 2;1636;1772
5755;Törzsvásárló 5-nagyker;1535;1772
5817;Törzsvásárló 2;1324;1435
5817;Törzsvásárló 5-nagyker;1243;1435
5819;Törzsvásárló 2;1324;1435
5819;Törzsvásárló 5-nagyker;1243;1435
5820;Törzsvásárló 2;674;730
5820;Törzsvásárló 5-nagyker;633;730
5821;Törzsvásárló 2;1696;1837
5821;Törzsvásárló 5-nagyker;1592;1837
5822;Törzsvásárló 2;945;1024
5822;Törzsvásárló 5-nagyker;887;1024
5823;Törzsvásárló 2;1696;1837
5823;Törzsvásárló 5-nagyker;1592;1837
5824;Törzsvásárló 2;891;965
5824;Törzsvásárló 5-nagyker;836;965
5825;Törzsvásárló 2;300;325
5825;Törzsvásárló 5-nagyker;282;325
5826;Törzsvásárló 2;300;325
5826;Törzsvásárló 5-nagyker;282;325
5827;Törzsvásárló 2;499;541
5827;Törzsvásárló 5-nagyker;469;541
5828;Törzsvásárló 2;494;535
5828;Törzsvásárló 5-nagyker;463;535
5829;Törzsvásárló 2;494;535
5829;Törzsvásárló 5-nagyker;463;535
5830;Törzsvásárló 2;499;541
5830;Törzsvásárló 5-nagyker;469;541
5831;Törzsvásárló 2;494;535
5831;Törzsvásárló 5-nagyker;463;535
5833;Törzsvásárló 2;704;762
5833;Törzsvásárló 5-nagyker;661;762
5834;Törzsvásárló 2;704;762
5834;Törzsvásárló 5-nagyker;661;762
5837;Törzsvásárló 2;439;476
5837;Törzsvásárló 5-nagyker;412;476
5840;Törzsvásárló 2;540;585
5840;Törzsvásárló 5-nagyker;507;585
5841;Törzsvásárló 2;523;566
5841;Törzsvásárló 5-nagyker;491;566
5842;Törzsvásárló 2;531;575
5842;Törzsvásárló 5-nagyker;498;575
5846;Törzsvásárló 2;549;594
5846;Törzsvásárló 5-nagyker;515;594
5847;Törzsvásárló 2;478;518
5847;Törzsvásárló 5-nagyker;449;518
5848;Törzsvásárló 2;517;560
5848;Törzsvásárló 5-nagyker;485;560
5852;Törzsvásárló 2;458;496
5852;Törzsvásárló 5-nagyker;430;496
5853;Törzsvásárló 2;748;810
5853;Törzsvásárló 5-nagyker;702;810
5856;Törzsvásárló 2;415;449
5856;Törzsvásárló 5-nagyker;389;449
5893;Törzsvásárló 2;44441;48148
5893;Törzsvásárló 5-nagyker;41715;48148
5894;Törzsvásárló 2;38782;42017
5894;Törzsvásárló 5-nagyker;36404;42017
5892;Törzsvásárló 2;48286;52313
5892;Törzsvásárló 5-nagyker;45324;52313
5959;Törzsvásárló 2;241;261
5959;Törzsvásárló 5-nagyker;226;261
5960;Törzsvásárló 2;81830;88655
5960;Törzsvásárló 5-nagyker;76810;88655
5962;Törzsvásárló 2;7074;7664
5962;Törzsvásárló 5-nagyker;6640;7664
5963;Törzsvásárló 2;30948;33529
5963;Törzsvásárló 5-nagyker;29050;33529
5964;Törzsvásárló 2;23233;25170
5964;Törzsvásárló 5-nagyker;21808;25170
5965;Törzsvásárló 2;75;81
5965;Törzsvásárló 5-nagyker;70;81
5966;Törzsvásárló 2;75;81
5966;Törzsvásárló 5-nagyker;70;81
5967;Törzsvásárló 2;75;81
5967;Törzsvásárló 5-nagyker;70;81
5968;Törzsvásárló 2;75;81
5968;Törzsvásárló 5-nagyker;70;81
5969;Törzsvásárló 2;75;81
5969;Törzsvásárló 5-nagyker;70;81
5970;Törzsvásárló 2;75;81
5970;Törzsvásárló 5-nagyker;70;81
5971;Törzsvásárló 2;75;81
5971;Törzsvásárló 5-nagyker;70;81
5972;Törzsvásárló 2;75;81
5972;Törzsvásárló 5-nagyker;70;81
5973;Törzsvásárló 2;122;132
5973;Törzsvásárló 5-nagyker;114;132
5974;Törzsvásárló 2;122;132
5974;Törzsvásárló 5-nagyker;114;132
5975;Törzsvásárló 2;122;132
5975;Törzsvásárló 5-nagyker;114;132
5976;Törzsvásárló 2;122;132
5976;Törzsvásárló 5-nagyker;114;132
5977;Törzsvásárló 2;122;132
5977;Törzsvásárló 5-nagyker;114;132
5979;Törzsvásárló 2;7694;8336
5979;Törzsvásárló 5-nagyker;7222;8336
5980;Törzsvásárló 2;7694;8336
5980;Törzsvásárló 5-nagyker;7222;8336
6006;Törzsvásárló 2;18962;20544
6006;Törzsvásárló 5-nagyker;17799;20544
6009;Törzsvásárló 2;53866;58358
6009;Törzsvásárló 5-nagyker;50562;58358
6012;Törzsvásárló 2;80907;87655
6012;Törzsvásárló 5-nagyker;75944;87655
6014;Törzsvásárló 2;211;229
6014;Törzsvásárló 5-nagyker;199;229
6047;Törzsvásárló 2;46206;50060
6047;Törzsvásárló 5-nagyker;43372;50060
6048;Törzsvásárló 2;45399;49185
6048;Törzsvásárló 5-nagyker;42614;49185
6074;Törzsvásárló 2;327;354
6074;Törzsvásárló 5-nagyker;307;354
6075;Törzsvásárló 2;349;378
6075;Törzsvásárló 5-nagyker;328;378
6086;Törzsvásárló 2;223;241
6086;Törzsvásárló 5-nagyker;209;241
6088;Törzsvásárló 2;774;839
6088;Törzsvásárló 5-nagyker;727;839
6089;Törzsvásárló 2;1033;1119
6089;Törzsvásárló 5-nagyker;969;1119
6090;Törzsvásárló 2;1276;1382
6090;Törzsvásárló 5-nagyker;1198;1382
6091;Törzsvásárló 2;1876;2032
6091;Törzsvásárló 5-nagyker;1761;2032
6094;Törzsvásárló 2;2203;2386
6094;Törzsvásárló 5-nagyker;2068;2386
6102;Törzsvásárló 2;3623;3925
6102;Törzsvásárló 5-nagyker;3401;3925
6110;Törzsvásárló 2;1542;1670
6110;Törzsvásárló 5-nagyker;1447;1670
6111;Törzsvásárló 2;737;798
6111;Törzsvásárló 5-nagyker;692;798
6112;Törzsvásárló 2;1145;1240
6112;Törzsvásárló 5-nagyker;1074;1240
6117;Törzsvásárló 2;1228;1331
6117;Törzsvásárló 5-nagyker;1153;1331
6118;Törzsvásárló 2;1762;1909
6118;Törzsvásárló 5-nagyker;1654;1909
6119;Törzsvásárló 2;672;728
6119;Törzsvásárló 5-nagyker;631;728
6120;Törzsvásárló 2;1018;1103
6120;Törzsvásárló 5-nagyker;955;1103
6121;Törzsvásárló 2;1527;1654
6121;Törzsvásárló 5-nagyker;1433;1654
6135;Törzsvásárló 2;3027;3280
6135;Törzsvásárló 5-nagyker;2842;3280
6145;Törzsvásárló 2;51265;55541
6145;Törzsvásárló 5-nagyker;48121;55541
6188;Törzsvásárló 2;78;84
6188;Törzsvásárló 5-nagyker;73;84
6202;Törzsvásárló 2;268;290
6202;Törzsvásárló 5-nagyker;252;290
6203;Törzsvásárló 2;251;272
6203;Törzsvásárló 5-nagyker;236;272
6219;Törzsvásárló 2;6716;7276
6219;Törzsvásárló 5-nagyker;6304;7276
6232;Törzsvásárló 2;188971;204732
6232;Törzsvásárló 5-nagyker;177379;204732
6268;Törzsvásárló 2;629;681
6268;Törzsvásárló 5-nagyker;590;681
6278;Törzsvásárló 2;63490;68785
6278;Törzsvásárló 5-nagyker;59595;68785
8001;Törzsvásárló 2;486;526
8001;Törzsvásárló 5-nagyker;456;526
8002;Törzsvásárló 2;518;561
8002;Törzsvásárló 5-nagyker;486;561
8003;Törzsvásárló 2;176;191
8003;Törzsvásárló 5-nagyker;165;191
8004;Törzsvásárló 2;26742;28972
8004;Törzsvásárló 5-nagyker;25101;28972
8022;Törzsvásárló 2;155459;168425
8022;Törzsvásárló 5-nagyker;145923;168425
8032;Törzsvásárló 2;11992;12992
8032;Törzsvásárló 5-nagyker;11256;12992
8027;Törzsvásárló 2;1199;1299
8027;Törzsvásárló 5-nagyker;1125;1299
8028;Törzsvásárló 2;1638;1775
8028;Törzsvásárló 5-nagyker;1538;1775
8029;Törzsvásárló 2;1145;1240
8029;Törzsvásárló 5-nagyker;1074;1240
8031;Törzsvásárló 2;818;886
8031;Törzsvásárló 5-nagyker;768;886
8039;Törzsvásárló 2;495;536
8039;Törzsvásárló 5-nagyker;464;536
562;Törzsvásárló 2;4957;5370
562;Törzsvásárló 5-nagyker;4653;5370
833;Törzsvásárló 2;1145;1240
833;Törzsvásárló 5-nagyker;1074;1240
1786;Törzsvásárló 2;62906;68153
1786;Törzsvásárló 5-nagyker;59048;68153
2091;Törzsvásárló 2;177259;192044
2091;Törzsvásárló 5-nagyker;166386;192044
2113;Törzsvásárló 2;55115;59712
2113;Törzsvásárló 5-nagyker;51734;59712
2592;Törzsvásárló 2;10894;11802
2592;Törzsvásárló 5-nagyker;10226;11802
2761;Törzsvásárló 2;79873;86535
2761;Törzsvásárló 5-nagyker;74973;86535
2810;Törzsvásárló 2;3869;4192
2810;Törzsvásárló 5-nagyker;3632;4192
3859;Törzsvásárló 2;8715;9442
3859;Törzsvásárló 5-nagyker;8181;9442
4251;Törzsvásárló 2;9078;9835
4251;Törzsvásárló 5-nagyker;8521;9835
4410;Törzsvásárló 2;8055;8727
4410;Törzsvásárló 5-nagyker;7561;8727
4476;Törzsvásárló 2;26662;28886
4476;Törzsvásárló 5-nagyker;25027;28886
4555;Törzsvásárló 2;4036;4373
4555;Törzsvásárló 5-nagyker;3789;4373
4606;Törzsvásárló 2;21787;23604
4606;Törzsvásárló 5-nagyker;20450;23604
5233;Törzsvásárló 2;35540;38504
5233;Törzsvásárló 5-nagyker;33360;38504
5239;Törzsvásárló 2;75479;81774
5239;Törzsvásárló 5-nagyker;70849;81774
5515;Törzsvásárló 2;3214;3482
5515;Törzsvásárló 5-nagyker;3017;3482
5564;Törzsvásárló 2;209;226
5564;Törzsvásárló 5-nagyker;196;226
5583;Törzsvásárló 2;11204;12139
5583;Törzsvásárló 5-nagyker;10517;12139
5584;Törzsvásárló 2;11736;12715
5584;Törzsvásárló 5-nagyker;11016;12715
5678;Törzsvásárló 2;21004;22756
5678;Törzsvásárló 5-nagyker;19716;22756
5691;Törzsvásárló 2;136861;148276
5691;Törzsvásárló 5-nagyker;128466;148276
5818;Törzsvásárló 2;528;572
5818;Törzsvásárló 5-nagyker;496;572
5789;Törzsvásárló 2;102783;111356
5789;Törzsvásárló 5-nagyker;96478;111356
5832;Törzsvásárló 2;494;535
5832;Törzsvásárló 5-nagyker;463;535
5838;Törzsvásárló 2;436;472
5838;Törzsvásárló 5-nagyker;409;472
5839;Törzsvásárló 2;486;526
5839;Törzsvásárló 5-nagyker;456;526
5845;Törzsvásárló 2;332;360
5845;Törzsvásárló 5-nagyker;312;360
5929;Törzsvásárló 2;19263;20869
5929;Törzsvásárló 5-nagyker;18081;20869
6005;Törzsvásárló 2;76730;83130
6005;Törzsvásárló 5-nagyker;72024;83130
6062;Törzsvásárló 2;5240;5677
6062;Törzsvásárló 5-nagyker;4919;5677
6076;Törzsvásárló 2;534;579
6076;Törzsvásárló 5-nagyker;501;579
6078;Törzsvásárló 2;200;217
6078;Törzsvásárló 5-nagyker;188;217
6092;Törzsvásárló 2;1162;1259
6092;Törzsvásárló 5-nagyker;1091;1259
6093;Törzsvásárló 2;1451;1572
6093;Törzsvásárló 5-nagyker;1362;1572
6095;Törzsvásárló 2;859;930
6095;Törzsvásárló 5-nagyker;806;930
6096;Törzsvásárló 2;1177;1275
6096;Törzsvásárló 5-nagyker;1104;1275
6097;Törzsvásárló 2;1466;1588
6097;Törzsvásárló 5-nagyker;1376;1588
6098;Törzsvásárló 2;2195;2378
6098;Törzsvásárló 5-nagyker;2061;2378
6099;Törzsvásárló 2;2955;3201
6099;Törzsvásárló 5-nagyker;2774;3201
6100;Törzsvásárló 2;3760;4073
6100;Törzsvásárló 5-nagyker;3529;4073
6101;Törzsvásárló 2;2157;2337
6101;Törzsvásárló 5-nagyker;2025;2337
6103;Törzsvásárló 2;2309;2501
6103;Törzsvásárló 5-nagyker;2167;2501
6104;Törzsvásárló 2;3638;3941
6104;Törzsvásárló 5-nagyker;3415;3941
6105;Törzsvásárló 2;729;790
6105;Törzsvásárló 5-nagyker;685;790
6106;Törzsvásárló 2;1088;1179
6106;Törzsvásárló 5-nagyker;1021;1179
6107;Törzsvásárló 2;1486;1610
6107;Törzsvásárló 5-nagyker;1395;1610
6108;Törzsvásárló 2;661;716
6108;Törzsvásárló 5-nagyker;620;716
6109;Törzsvásárló 2;1033;1119
6109;Törzsvásárló 5-nagyker;969;1119
6113;Törzsvásárló 2;593;642
6113;Törzsvásárló 5-nagyker;557;642
6114;Törzsvásárló 2;957;1037
6114;Törzsvásárló 5-nagyker;899;1037
6115;Törzsvásárló 2;1541;1669
6115;Törzsvásárló 5-nagyker;1446;1669
6116;Törzsvásárló 2;837;907
6116;Törzsvásárló 5-nagyker;786;907
6136;Törzsvásárló 2;429;465
6136;Törzsvásárló 5-nagyker;403;465
6137;Törzsvásárló 2;357;386
6137;Törzsvásárló 5-nagyker;335;386
6182;Törzsvásárló 2;5741;6220
6182;Törzsvásárló 5-nagyker;5389;6220
6189;Törzsvásárló 2;30117;32629
6189;Törzsvásárló 5-nagyker;28270;32629
6269;Törzsvásárló 2;637;690
6269;Törzsvásárló 5-nagyker;598;690
6282;Törzsvásárló 2;1424;1543
6282;Törzsvásárló 5-nagyker;1337;1543
6283;Törzsvásárló 2;2224;2409
6283;Törzsvásárló 5-nagyker;2087;2409
8005;Törzsvásárló 2;28609;30995
8005;Törzsvásárló 5-nagyker;26854;30995
8030;Törzsvásárló 2;1625;1760
8030;Törzsvásárló 5-nagyker;1525;1760
